,CustomerId,Cluster
542,500165341,2
543,500165446,2
544,500165802,0
545,500165811,3
546,500166230,2
547,500166808,0
548,500166811,2
549,500166950,3
550,500167148,2
551,500167680,0
552,500168040,0
553,500168875,0
554,500168971,0
555,500169347,2
556,500169456,0
557,500169517,0
558,500169642,0
559,500169939,2
560,500170161,3
561,500170213,2
562,500170247,3
563,500170340,0
564,500170368,0
565,500170889,0
566,500170972,3
567,500171374,3
568,500171694,3
569,500171753,3
570,500171867,2
571,500171966,3
572,500172038,0
573,500172065,0
574,500172099,0
575,500172998,1
576,500173100,3
577,500173355,2
578,500173842,3
579,500173847,3
580,500173894,1
581,500174028,3
582,500174639,2
583,500174728,2
584,500174922,0
585,500175287,3
586,500175444,0
587,500175627,0
588,500175641,2
589,500176007,2
590,500176185,0
591,500176698,0
592,500177026,2
593,500177404,3
594,500177535,0
595,500178468,1
596,500178764,0
597,500179154,2
598,500179509,0
599,500179630,2
600,500179810,0
601,500180311,0
602,500180460,2
603,500180528,3
604,500180624,2
605,500181090,3
606,500181727,2
607,500182617,3
608,500182815,0
609,500183093,1
610,500183928,3
611,500184158,1
612,500184232,0
613,500184468,0
614,500184727,3
615,500184742,0
616,500185074,3
617,500185123,0
618,500185417,0
619,500185631,0
620,500185664,3
621,500186268,0
622,500186283,3
623,500187264,2
624,500187342,0
625,500187410,0
626,500187511,0
627,500187779,3
628,500187800,3
629,500188055,3
630,500189100,3
631,500189460,0
632,500189842,3
633,500190103,2
634,500190423,3
635,500190499,3
636,500190921,0
637,500191167,3
638,500191368,0
639,500191897,3
640,500192457,1
641,500192581,3
642,500192652,2
643,500192969,0
644,500193984,0
645,500194749,0
646,500195244,2
647,500195599,2
648,500195740,3
649,500195819,3
650,500196332,2
651,500197629,3
652,500197742,3
653,500198185,3
654,500198208,3
655,500198236,0
656,500198518,0
657,500199186,0
658,500199251,0
659,500199579,0
660,500199715,3
661,500199956,3
662,500200200,3
663,500200611,3
664,500200635,2
665,500201047,0
666,500201402,3
667,500201713,0
668,500201775,3
669,500202181,0
670,500204163,2
671,500204478,2
672,500206198,2
673,500206841,3
674,500208275,0
675,500209098,3
676,500209535,0
677,500218657,3
678,500219745,2
679,500225944,3
680,500231250,0
681,500231459,0
682,500231480,0
683,500231581,3
684,500232078,3
685,500234288,0
686,500237779,0
687,500239096,3
688,500240170,3
689,500241884,3
690,500245270,3
691,500246519,3
692,500249812,3
693,500263681,3
694,500264123,3
695,500264219,0
696,500264749,2
697,500265338,2
698,500265665,2
699,500265792,3
700,500265982,3
701,500266520,3
702,500266521,3
703,500266548,3
704,500266787,3
705,500267153,2
706,500268784,0
707,500269071,0
708,500269100,0
709,500269146,0
710,500269308,3
711,500270414,0
712,500270761,2
713,500270889,3
714,500271319,3
715,500271798,3
716,500272497,3
717,500272678,3
718,500272801,0
719,500272928,0
720,500273438,0
721,500273971,0
722,500274247,2
723,500274693,0
724,500274755,0
725,500274887,3
726,500274996,0
727,500275043,3
728,500275076,3
729,500275219,3
730,500276010,1
731,500276333,2
732,500276626,3
733,500276660,2
734,500277639,2
735,500277813,2
736,500277850,3
737,500278469,2
738,500278929,0
739,500279118,2
740,500279148,0
741,500279513,3
742,500279581,3
743,500279635,0
744,500279887,3
745,500280063,2
746,500280407,3
747,500280672,0
748,500280678,2
749,500281024,2
750,500281490,1
751,500281625,2
752,500281874,0
753,500281876,2
754,500281990,3
755,500282153,2
756,500282296,2
757,500282347,3
758,500282436,3
759,500282539,0
760,500283229,0
761,500283413,1
762,500283560,2
763,500283971,1
764,500284581,3
765,500284629,2
766,500285250,2
767,500285488,2
768,500285638,3
769,500285783,1
770,500285814,2
771,500285877,0
772,500286011,0
773,500286253,1
774,500286312,1
775,500287119,0
776,500287507,2
777,500288265,2
778,500288448,3
779,500289041,2
780,500289406,3
781,500289511,0
782,500289691,1
783,500290001,0
784,500290315,2
785,500290324,3
786,500291003,3
787,500291163,0
788,500291823,0
789,500292317,2
790,500292959,3
791,500294103,3
792,500296173,2
793,500296185,2
794,500296481,2
795,500296593,0
796,500296796,2
797,500297018,2
798,500297058,2
799,500297145,0
800,500297667,2
801,500297679,3
802,500298416,3
803,500298804,3
804,500298849,2
805,500299133,3
806,500299208,2
807,500299266,2
808,500299362,0
809,500299400,0
810,500299411,2
811,500299466,2
812,500299605,3
813,500299674,2
814,500301199,2
815,500301247,0
816,500301851,0
817,500302001,0
818,500303387,0
819,500303456,2
820,500303518,0
821,500303812,0
822,500304259,0
823,500304613,0
824,500305177,0
825,500305263,2
826,500305439,0
827,500305920,0
828,500307038,0
829,500309263,0
830,500309604,0
831,500310330,3
832,500310509,3
833,500310652,2
834,500311144,3
835,500317242,3
836,500317673,3
837,500321639,3
838,500322215,3
839,500323363,3
840,500325371,0
841,500328224,1
842,500330022,3
843,500330393,2
844,500330466,3
845,500331101,0
846,500331543,3
847,500331888,3
848,500332115,3
849,500356300,3
850,500359721,2
851,500360681,3
852,500360703,3
853,500360871,3
854,500364071,2
855,500364284,0
856,500364807,3
857,500364954,1
858,500365000,1
859,500365133,1
860,500365148,1
861,500366267,0
862,500366968,0
863,500367074,2
864,500367841,2
865,500367915,0
866,500368366,3
867,500368644,1
868,500368882,3
869,500368898,0
870,500369017,2
871,500369040,0
872,500369718,3
873,500369949,2
874,500370539,0
875,500370674,0
876,500370772,2
877,500370796,0
878,500370908,0
879,500370987,0
880,500371130,0
881,500371223,0
882,500371461,2
883,500371573,2
884,500371597,3
885,500371632,0
886,500371839,0
887,500372000,0
888,500372038,0
889,500372056,0
890,500372086,3
891,500372166,0
892,500372248,3
893,500372308,3
894,500372343,2
895,500372344,0
896,500372642,3
897,500372717,0
898,500373136,3
899,500373284,2
900,500374143,3
901,500374173,3
902,500374550,2
903,500375296,2
904,500375547,2
905,500375990,0
906,500376040,3
907,500376223,0
908,500376483,0
909,500376690,2
910,500377295,1
911,500377319,3
912,500378763,3
913,500378955,1
914,500379233,1
915,500380078,3
916,500380347,0
917,500380868,2
918,500381332,2
919,500381807,1
920,500381984,2
921,500382055,3
922,500382922,0
923,500383013,0
924,500383198,2
925,500383879,0
926,500384254,2
927,500384259,2
928,500384361,0
929,500384490,2
930,500384611,0
931,500385082,2
932,500385169,0
933,500385235,3
934,500385876,0
935,500386137,2
936,500386274,0
937,500386919,0
938,500387137,0
939,500387353,2
940,500387649,2
941,500387838,2
942,500387864,3
943,500387953,0
944,500387966,3
945,500388201,3
946,500388203,0
947,500389134,0
948,500389643,0
949,500389832,0
950,500390171,1
951,500390188,2
952,500391060,2
953,500391069,0
954,500391150,0
955,500391223,0
956,500391677,3
957,500391961,3
958,500392017,0
959,500392180,0
960,500392434,0
961,500392961,0
962,500393418,2
963,500393635,3
964,500393698,2
965,500393837,0
966,500393864,0
967,500394128,1
968,500394139,0
969,500394849,1
970,500394868,0
971,500394928,0
972,500395024,0
973,500395050,1
974,500395070,0
975,500395419,0
976,500395520,0
977,500395661,2
978,500395756,3
979,500395875,0
980,500395953,2
981,500395954,3
982,500396293,3
983,500396352,1
984,500396853,3
985,500397142,1
986,500397212,2
987,500397246,2
988,500397364,1
989,500397497,2
990,500398021,1
991,500398979,1
992,500399389,3
993,500399465,1
994,500399502,0
995,500399678,2
996,500400184,0
997,500400433,3
998,500400448,0
999,500400496,1
1000,500400873,0
1001,500400939,2
1002,500401203,2
1003,500401772,2
1004,500402670,0
1005,500403235,0
1006,500403317,0
1007,500403481,0
1008,500403661,3
1009,500403853,0
1010,500403867,3
1011,500403950,1
1012,500404396,3
1013,500404484,3
1014,500404686,3
1015,500405224,2
1016,500405554,3
1017,500405749,3
1018,500405797,0
1019,500406254,0
1020,500406413,0
1021,500406456,0
1022,500406854,3
1023,500407033,2
1024,500408786,0
1025,500408947,0
1026,500409090,0
1027,500410039,3
1028,500410332,1
1029,500410606,0
