,Variable1,Variable2,Correlation
10048,h_30_49_conteo_personas_300m,m_0_2_conteo_personas_300m,0.8642457310052144
14568,LISTA_18_MUJERES_300m,LISTA_45_49_HOMBRES_300m,0.8641316540027657
32596,autos_hora_5,autos_hora_6,0.8640759742915624
10065,h_30_49_conteo_personas_300m,PADRON_300m,0.8640312839123436
13544,modelos_hog_no_fam_conteo_hogares_300m,LISTA_35_39_HOMBRES_300m,0.8637952713938196
10299,h_50_59_conteo_personas_300m,estudiantes_conteo_personas_300m,0.863676097885148
20706,pensionados_conteo_personas_300m,asalariados_conteo_personas_300m,0.8636537198096523
13344,modelos_hog_fam_conteo_hogares_300m,LISTA_45_49_HOMBRES_300m,0.8636218218357133
10092,h_30_49_conteo_personas_300m,LISTA_300m,0.8635877665120022
12318,m_50_59_conteo_personas_300m,LISTA_30_34_HOMBRES_300m,0.8634813269973841
29118,flo_finde_dmas_300m,flo_sem_45a64_300m,0.863434600824359
9654,h_18_24_conteo_personas_300m,modelos_hog_no_fam_conteo_hogares_300m,0.8634221614323567
31180,autos_promedio,autos_hora_18,0.8633552467364981
9641,h_18_24_conteo_personas_300m,m_3_5_conteo_personas_300m,0.8632855831002109
17646,LISTA_50_54_HOMBRES_300m,asalariados_conteo_personas_300m,0.8632612572763269
10277,h_50_59_conteo_personas_300m,LISTA_25_29_MUJERES_300m,0.8631973720759397
9650,h_18_24_conteo_personas_300m,modelos_una_persona_conteo_hogares_300m,0.8631459153808726
12929,modelos_dos_personas_conteo_hogares_300m,LISTA_25_29_MUJERES_300m,0.862865744332761
20708,pensionados_conteo_personas_300m,pea_conteo_personas_300m,0.8628403706717942
12731,modelos_una_persona_conteo_hogares_300m,LISTA_40_44_MUJERES_300m,0.8628011125165329
17875,LISTA_50_54_MUJERES_300m,POBTOT_300m,0.8627643548256217
12733,modelos_una_persona_conteo_hogares_300m,LISTA_45_49_MUJERES_300m,0.8627491576840732
15184,LISTA_20_24_HOMBRES_300m,LISTA_55_59_HOMBRES_300m,0.862698511245955
10265,h_50_59_conteo_personas_300m,modelos_hog_fam_conteo_hogares_300m,0.8626911348360455
17648,LISTA_50_54_HOMBRES_300m,pea_conteo_personas_300m,0.8625803446819588
12328,m_50_59_conteo_personas_300m,LISTA_55_59_HOMBRES_300m,0.8624864579459691
17671,LISTA_50_54_HOMBRES_300m,POBTOT_300m,0.8623948306620712
17642,LISTA_50_54_HOMBRES_300m,ocupados_conteo_personas_300m,0.8623031195365642
10073,h_30_49_conteo_personas_300m,LISTA_25_29_MUJERES_300m,0.8620927605663947
17874,LISTA_50_54_MUJERES_300m,viviendas_300m,0.8620787699174769
11089,m_6_11_conteo_personas_300m,LISTA_19_MUJERES_300m,0.861910084790844
13547,modelos_hog_no_fam_conteo_hogares_300m,LISTA_40_44_MUJERES_300m,0.8617867538503797
10276,h_50_59_conteo_personas_300m,LISTA_25_29_HOMBRES_300m,0.8617753463018958
12936,modelos_dos_personas_conteo_hogares_300m,LISTA_45_49_HOMBRES_300m,0.8617455231387045
20093,ocupados_conteo_personas_300m,pensionados_conteo_personas_300m,0.861433767050358
13549,modelos_hog_no_fam_conteo_hogares_300m,LISTA_45_49_MUJERES_300m,0.8613119284517502
9855,h_25_29_conteo_personas_300m,modelos_dos_personas_conteo_hogares_300m,0.8612607134925122
12939,modelos_dos_personas_conteo_hogares_300m,LISTA_50_54_MUJERES_300m,0.8612239693376869
12114,m_30_49_conteo_personas_300m,LISTA_30_34_HOMBRES_300m,0.8611026025366794
12728,modelos_una_persona_conteo_hogares_300m,LISTA_35_39_HOMBRES_300m,0.8609088170318633
9049,h_6_11_conteo_personas_300m,LISTA_19_MUJERES_300m,0.8606367314433121
14766,LISTA_19_HOMBRES_300m,LISTA_30_34_HOMBRES_300m,0.8606225302856249
10067,h_30_49_conteo_personas_300m,LISTA_18_MUJERES_300m,0.8605854007303998
9227,h_12_14_conteo_personas_300m,h_18_24_conteo_personas_300m,0.8605561749413244
11509,m_15_17_conteo_personas_300m,LISTA_45_49_MUJERES_300m,0.8604447924299281
10263,h_50_59_conteo_personas_300m,modelos_dos_personas_conteo_hogares_300m,0.8603825892635775
10667,m_0_2_conteo_personas_300m,m_30_49_conteo_personas_300m,0.8603497334852109
8819,h_3_5_conteo_personas_300m,h_18_24_conteo_personas_300m,0.8600527650162924
9871,h_25_29_conteo_personas_300m,LISTA_30_34_MUJERES_300m,0.8600188787333038
9851,h_25_29_conteo_personas_300m,m_30_49_conteo_personas_300m,0.859978074388913
9469,h_15_17_conteo_personas_300m,LISTA_45_49_MUJERES_300m,0.8596505500641727
28496,flo_finde_cmas_300m,flo_finde_cmen_300m,0.8596449983391248
12730,modelos_una_persona_conteo_hogares_300m,LISTA_40_44_HOMBRES_300m,0.8595553072797181
8627,h_0_2_conteo_personas_300m,m_30_49_conteo_personas_300m,0.859434928644585
14979,LISTA_19_MUJERES_300m,LISTA_50_54_MUJERES_300m,0.8594169221651093
13546,modelos_hog_no_fam_conteo_hogares_300m,LISTA_40_44_HOMBRES_300m,0.8594077795673516
16814,LISTA_40_44_HOMBRES_300m,LISTA_50_54_HOMBRES_300m,0.8592080457190306
10077,h_30_49_conteo_personas_300m,LISTA_35_39_MUJERES_300m,0.8590530311612068
17645,LISTA_50_54_HOMBRES_300m,pensionados_conteo_personas_300m,0.8589825486324661
9048,h_6_11_conteo_personas_300m,LISTA_19_HOMBRES_300m,0.8588342532556246
26257,flo_sem_tot_300m,flo_ocu_300m,0.8587856259412496
26446,flo_sem_ab_300m,flo_sem_c_300m,0.8586189690881731
35056,autos_hora_17,autos_hora_18,0.8586160097201798
12319,m_50_59_conteo_personas_300m,LISTA_30_34_MUJERES_300m,0.8585982768740752
35261,autos_hora_18,autos_hora_19,0.8585585213354512
12938,modelos_dos_personas_conteo_hogares_300m,LISTA_50_54_HOMBRES_300m,0.8585182605064557
13738,PADRON_HOMBRES_300m,LISTA_18_HOMBRES_300m,0.8584811370248586
11701,m_18_24_conteo_personas_300m,LISTA_19_MUJERES_300m,0.85847123230642
16405,LISTA_35_39_HOMBRES_300m,LISTA_45_49_MUJERES_300m,0.8583965607274762
12301,m_50_59_conteo_personas_300m,m_60_mas_conteo_personas_300m,0.8583805037957364
12928,modelos_dos_personas_conteo_hogares_300m,LISTA_25_29_HOMBRES_300m,0.858304758518056
10064,h_30_49_conteo_personas_300m,PADRON_MUJERES_300m,0.8580884589775285
26241,flo_sem_tot_300m,flo_sem_ab_300m,0.8580386599886665
14374,LISTA_18_HOMBRES_300m,LISTA_HOMBRES_300m,0.8579799586365495
11088,m_6_11_conteo_personas_300m,LISTA_19_HOMBRES_300m,0.8579785326690407
17670,LISTA_50_54_HOMBRES_300m,viviendas_300m,0.8579203520021166
10091,h_30_49_conteo_personas_300m,LISTA_MUJERES_300m,0.8576561582110499
10280,h_50_59_conteo_personas_300m,LISTA_35_39_HOMBRES_300m,0.8576391078697783
14382,LISTA_18_HOMBRES_300m,asalariados_conteo_personas_300m,0.8574503876737428
29117,flo_finde_dmas_300m,flo_sem_30a44_300m,0.8574366052535953
15995,LISTA_30_34_HOMBRES_300m,LISTA_40_44_MUJERES_300m,0.8573842311512742
