,CustomerId,KMEANS_AGG,KMEANS_AGG_PCA,KMEANS_AGG_MCA,KMEANS_AGG_UMAP
1988,510820066,1,3,1,0
1989,510820586,1,3,1,0
1990,510821019,1,3,0,0
1991,510821102,1,3,1,0
1992,510821474,1,3,1,0
1993,510823650,1,3,0,0
1994,510823880,1,3,1,0
1995,510824167,1,3,0,0
1996,510825031,1,3,1,0
1997,510825294,1,3,3,0
1998,510826372,1,3,3,0
1999,510826627,1,3,1,0
2000,510827777,1,3,0,0
2001,510827868,1,3,1,0
2002,510828273,1,3,0,0
2003,510828548,1,3,1,0
2004,510829414,1,3,2,0
2005,510829576,1,3,2,0
2006,510829638,1,3,1,0
2007,510829642,1,3,2,0
2008,510830647,1,3,2,0
2009,510831125,1,3,1,0
2010,510831157,1,3,1,0
2011,510831510,1,3,1,0
2012,510831672,1,3,1,0
2013,510833201,1,3,3,0
2014,510833309,1,3,4,0
2015,510835211,1,3,0,0
2016,510835367,1,3,1,0
2017,510836283,1,3,1,0
2018,510836643,1,3,1,0
2019,510837535,1,3,0,0
2020,510837791,1,3,2,0
2021,510837907,1,3,1,0
2022,510838634,1,3,4,0
2023,510838861,1,3,0,0
2024,510839053,1,3,1,0
